"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"AutoDL","注册模块","注册接口","0","0","19","0","0"
"AutoDL","注册模块","邀请注册接口","0","0","19","0","0"
"AutoDL","登录模块","登录接口","0","0","17","0","0"
"AutoDL","实例模块","实例开机接口","2","0","5","0","0"
"AutoDL","充值模块","微信充值接口","2","0","7","0","0"
"AutoDL","充值模块","支付宝充值接口","2","0","6","0","0"
"AutoDL","实例模块","创建包年包月实例订单接口","0","0","2","0","0"
"AutoDL","实例模块","创建按量计费实例接口","1","0","1","0","0"
"AutoDL","实例模块","包年包月实例订单付费接口","0","0","1","0","0"
"AutoDL","实例模块","实例关机接口","0","0","1","0","0"
